time,a_x,a_y,a_z
0,0,0,0
4.748790527245395e-05,-5.930005180481283e-06,-5.605717214528817e-17,-1.007096670751074e-30
0.0005223669579969935,-5.930005180481283e-06,-6.166288935982482e-16,-1.218586971608902e-28
0.005271157485242389,-5.930005180481283e-06,-6.2223461081356824e-15,-1.2408438080335534e-26
0.052759062757696346,-5.930005180481283e-06,-6.227951825429336e-14,-1.243080569749821e-24
0.5276381154822359,-5.930005180481247e-06,-6.228512397942023e-13,-1.2433043568063264e-22
5.276428642727631,-5.9300051804779245e-06,-6.2285684630254135e-12,-1.2433267376620933e-20
52.76433391518159,-5.930005180145589e-06,-6.228574147742332e-11,-1.2433289861692408e-18
527.6433866397211,-5.93000514691189e-06,-6.228575487035398e-10,-1.2433293138649905e-16
5276.433913885116,-5.930001823523349e-06,-6.22858220271966e-09,-1.2433302490770091e-14
48476.433913885114,-5.929721816367429e-06,-5.722384289132197e-08,-1.0494603685107118e-12
91676.43391388512,-5.9289917106501225e-06,-1.0821560457581746e-07,-3.7532952024063304e-12
134876.43391388512,-5.927811503474937e-06,-1.5919969702750198e-07,-8.123728452532138e-12
178076.43391388512,-5.926181233959324e-06,-2.101719487454539e-07,-1.4160397773061839e-11
221276.43391388512,-5.924100983276128e-06,-2.6112818743646453e-07,-2.1862787700126096e-11
264476.43391388515,-5.921570874688679e-06,-3.1206424049599897e-07,-3.123022955123774e-11
307676.43391388515,-5.918591073579416e-06,-3.6297593549008274e-07,-4.2261901348085037e-11
350876.43391388515,-5.915161787472078e-06,-4.1385910063801724e-07,-5.4956827762767774e-11
394076.43391388515,-5.9112832660474395e-06,-4.6470956529582403e-07,-6.931388008754393e-11
437276.43391388515,-5.906955801152535e-06,-5.155231604403118e-07,-8.533177622814817e-11
480476.43391388515,-5.9021797268033976e-06,-5.662957191536698e-07,-1.0300908072073705e-10
523676.43391388515,-5.896955419181254e-06,-6.170230771084804e-07,-1.2234420477250846e-10
566876.4339138852,-5.891283296622235e-06,-6.677010730530559e-07,-1.4333540632603783e-10
610076.4339138852,-5.885163819600495e-06,-7.183255492969854e-07,-1.6598079014736415e-10
653276.4339138852,-5.8785974907047915e-06,-7.688923521967984e-07,-1.902783079378544e-10
696476.4339138852,-5.871584854608548e-06,-8.193973326416405e-07,-2.162257584698688e-10
739676.4339138852,-5.8641264980332855e-06,-8.698363465388491e-07,-2.4382078774623775e-10
782876.4339138852,-5.85622304970553e-06,-9.202052552993357e-07,-2.7306088918356154e-10
826076.4339138852,-5.847875180307173e-06,-9.70499926322671e-07,-3.039434038193328e-10
869276.4339138852,-5.839083602419176e-06,-1.0207162334817512e-06,-3.364655205428711e-10
912476.4339138852,-5.829849070458822e-06,-1.070850057606971e-06,-3.706242763500651e-10
955676.4339138852,-5.820172380610309e-06,-1.12089728696977e-06,-4.0641655662189236e-10
998876.4339138852,-5.810054370748862e-06,-1.1708538177654691e-06,-4.4383909542669977e-10
1042076.4339138852,-5.7994959203582184e-06,-1.2207155545952794e-06,-4.828884758462013e-10
1085276.4339138852,-5.788497950441653e-06,-1.27047841094739e-06,-5.235611303251611e-10
1128476.4339138852,-5.777061423426439e-06,-1.3201383096770265e-06,-5.658533410447109e-10
1171676.4339138852,-5.7651873430617705e-06,-1.3696911834853658e-06,-6.097612403192414e-10
1214876.4339138852,-5.752876754310246e-06,-1.4191329753972326e-06,-6.552808110168219e-10
1258076.4339138852,-5.740130743232823e-06,-1.4684596392374375e-06,-7.02407887003063e-10
1301276.4339138852,-5.726950436867312e-06,-1.5176671401056806e-06,-7.511381536083566e-10
1344476.4339138852,-5.713337003100483e-06,-1.5667514548499142e-06,-8.014671481184158e-10
1387676.4339138852,-5.699291650533687e-06,-1.6157085725380478e-06,-8.533902602880146e-10
1430876.4339138852,-5.684815628342117e-06,-1.6645344949279077e-06,-9.069027328778401e-10
1474076.4339138852,-5.669910226127698e-06,-1.7132252369353461e-06,-9.619996622143564e-10
1517276.4339138852,-5.654576773765658e-06,-1.7617768271004002e-06,-1.018675998772569e-09
1560476.4339138852,-5.638816641244747e-06,-1.8101853080513926e-06,-1.0769265477815728e-09
1603676.4339138852,-5.6226312385012286e-06,-1.8584467369668847e-06,-1.136745969852765e-09
1646876.4339138852,-5.6060220152465934e-06,-1.9065571860353753e-06,-1.1981287816305972e-09
1690076.4339138852,-5.5889904607890865e-06,-1.954512742912648e-06,-1.2610693564657216e-09
1733276.4339138852,-5.571538103849064e-06,-2.0023095111766777e-06,-1.325561925110407e-09
1776476.4339138852,-5.553666512368203e-06,-2.0499436107799743e-06,-1.3916005764360563e-09
1819676.4339138852,-5.535377293312663e-06,-2.0974111784993074e-06,-1.4591792581726922e-09
1862876.4339138852,-5.516672092470143e-06,-2.144708368382668e-06,-1.5282917776702332e-09
1906076.4339138852,-5.497552594241e-06,-2.1918313521934155e-06,-1.598931802681406e-09
1949276.4339138852,-5.478020521423361e-06,-2.2387763198514843e-06,-1.6710928621661132e-09
1992476.4339138852,-5.458077634992362e-06,-2.2855394798715797e-06,-1.7447683471170866e-09
2035676.4339138852,-5.437725733873526e-06,-2.3321170597982543e-06,-1.8199515114066322e-09
2078876.4339138852,-5.4169666547102985e-06,-2.3785053066377745e-06,-1.896635472654272e-09
2122076.433913885,-5.395802271625876e-06,-2.4247004872866982e-06,-1.974813213115107e-09
2165276.433913885,-5.37423449597932e-06,-2.4706988889570677e-06,-2.0544775805886772e-09
2208476.433913885,-5.3522652761160226e-06,-2.5164968195981314e-06,-2.1356212893481253e-09
2251676.433913885,-5.329896597112575e-06,-2.5620906083144824e-06,-2.2182369210894253e-09
2294876.433913885,-5.307130480516138e-06,-2.6074766057805796e-06,-2.3023169259004947e-09
2338076.433913885,-5.283968984078328e-06,-2.6526511846515165e-06,-2.3878536232499382e-09
2381276.433913885,-5.2604142014837175e-06,-2.697610739969983e-06,-2.4748392029951965e-09
2424476.433913885,-5.236468262072953e-06,-2.7423516895693114e-06,-2.5632657264098597e-09
2467676.433913885,-5.212133330560664e-06,-2.7868704744725616e-06,-2.653125127229933e-09
2510876.433913885,-5.187411606748098e-06,-2.8311635592875242e-06,-2.7444092127187616e-09
2554076.433913885,-5.16230532523067e-06,-2.875227432597598e-06,-2.8371096647504073e-09
2597276.433913885,-5.136816755100408e-06,-2.919058607348438e-06,-2.9312180409111995e-09
2640476.433913885,-5.110948199643401e-06,-2.9626536212303077e-06,-3.0267257756191913e-09
2683676.433913885,-5.084701996032338e-06,-3.0060090370560644e-06,-3.123624181261279e-09
2726876.433913885,-5.058080515014182e-06,-3.0491214431347038e-06,-3.2219044493477027e-09
2770076.433913885,-5.031086160593045e-06,-3.0919874536403623e-06,-3.3215576516836355e-09
2813276.433913885,-5.003721369708402e-06,-3.1346037089767716e-06,-3.4225747415576296e-09
2856476.433913885,-4.975988611908629e-06,-3.1769668761370126e-06,-3.524946554946571e-09
2899676.433913885,-4.9478903890200224e-06,-3.219073649058569e-06,-3.628663811736913e-09
2942876.433913885,-4.9194292348113456e-06,-3.2609207489735816e-06,-3.7337171169618676e-09
2986076.433913885,-4.8906077146539756e-06,-3.302504924754241e-06,-3.8400969620542635e-09
3029276.433913885,-4.861428425177747e-06,-3.343822953253262e-06,-3.947793726114775e-09
3072476.433913885,-4.831893993922571e-06,-3.384871639639367e-06,-4.056797677195209e-09
3115676.433913885,-4.802007078985915e-06,-3.4256478177277394e-06,-4.1670989735965656e-09
3158876.433913885,-4.771770368666211e-06,-3.466148350305353e-06,-4.278687665181524e-09
3202076.433913885,-4.7411865811023054e-06,-3.5063701294511577e-06,-4.39155369470109e-09
3245276.433913885,-4.7102584639090275e-06,-3.5463100768510436e-06,-4.505686899135041e-09
3288476.433913885,-4.678988793808938e-06,-3.585965144107526e-06,-4.621077011045871e-09
3331676.433913885,-4.647380376260393e-06,-3.6253323130441283e-06,-4.7377136599459325e-09
3374876.433913885,-4.615436045081956e-06,-3.6644085960043617e-06,-4.855586373677388e-09
3418076.433913885,-4.583158662073308e-06,-3.70319103614531e-06,-4.974684579804721e-09
3461276.433913885,-4.550551116632694e-06,-3.7416767077257226e-06,-5.094997607019406e-09
3504476.433913885,-4.517616325371038e-06,-3.7798627163886156e-06,-5.216514686556469e-09
3547676.433913885,-4.4843572317227725e-06,-3.8177461994382805e-06,-5.339224953622524e-09
3590876.433913885,-4.450776805553529e-06,-3.855324326111725e-06,-5.463117448835029e-09
3634076.433913885,-4.416878042764725e-06,-3.8925942978444365e-06,-5.588181119672357e-09
3677276.433913885,-4.382663964895221e-06,-3.929553348530512e-06,-5.714404821934408e-09
3720476.433913885,-4.348137618720014e-06,-3.966198744777003e-06,-5.841777321213302e-09
3763676.433913885,-4.313302075846229e-06,-4.002527786152582e-06,-5.970287294373983e-09
3806876.433913885,-4.278160432306328e-06,-4.038537805430352e-06,-6.099923331044179e-09
3850076.433913885,-4.242715808148785e-06,-4.074226168824891e-06,-6.230673935113568e-09
3893276.433913885,-4.206971347026216e-06,-4.109590276223413e-06,-6.362527526241649e-09
3936476.433913885,-4.170930215781117e-06,-4.1446275614110715e-06,-6.4954724413740585e-09
3979676.433913885,-4.134595604029281e-06,-4.179335492290353e-06,-6.62949693626693e-09
4022876.433913885,-4.097970723740994e-06,-4.213711571094527e-06,-6.764589187018964e-09
4066076.433913885,-4.061058808820135e-06,-4.247753334595183e-06,-6.900737291610879e-09
4109276.433913885,-4.023863114681226e-06,-4.281458354303756e-06,-7.037929271451834e-09
4152476.433913885,-3.986386917824567e-06,-4.314824236667086e-06,-7.176153072932502e-09
4195676.433913885,-3.948633515409544e-06,-4.3478486232569415e-06,-7.315396568984429e-09
4238876.433913885,-3.910606224826214e-06,-4.380529190953563e-06,-7.455647560645374e-09
4282076.433913885,-3.872308383265242e-06,-4.4128636521231175e-06,-7.59689377863016e-09
4325276.433913885,-3.833743347286313e-06,-4.4448497547891375e-06,-7.739122884906798e-09
4368476.433913885,-3.7949144923851056e-06,-4.476485282797883e-06,-7.882322474277468e-09
4411676.433913885,-3.755825212558913e-06,-4.507768055977633e-06,-8.026480075963999e-09
4454876.433913885,-3.71647891987105e-06,-4.538695930291912e-06,-8.171583155197547e-09
4498076.433913885,-3.6768790440140774e-06,-4.569266797986622e-06,-8.317619114812037e-09
4541276.433913885,-3.6370290318720103e-06,-4.599478587731094e-06,-8.464575296841089e-09
4584476.433913885,-3.596932347081547e-06,-4.6293292647530506e-06,-8.612438984118014e-09
4627676.433913885,-3.556592469592465e-06,-4.6588168309674756e-06,-8.761197401878577e-09
4670876.433913885,-3.516012895227249e-06,-4.687939325099422e-06,-8.91083771936618e-09
4714076.433913885,-3.4751971352400543e-06,-4.716694822800702e-06,-9.061347051439038e-09
4757276.433913885,-3.43414871587511e-06,-4.745081436760531e-06,-9.212712460179102e-09
4800476.433913885,-3.3928711779246454e-06,-4.773097316810084e-06,-9.364920956502318e-09
